,Daily Confirmations,Daily Recoveries,Daily Deaths,Total Confirmations,Total Recoveries,Total Deaths
03 February ,12925,17813,107,10791056,10479346,154151
04 February ,12401,15788,120,10803457,10495134,154271
05 February ,11711,14512,95,10815168,10509646,154366
06 February ,12069,11761,75,10827237,10521407,154441
07 February ,11786,11756,86,10839023,10533163,154527
08 February ,8689,13575,77,10847712,10546738,154604
09 February ,10731,12928,94,10858443,10559666,154698
10 February ,12539,11796,110,10870982,10571462,154808
11 February ,9353,15722,85,10880335,10587184,154893
12 February ,12137,11358,104,10892472,10598542,154997
13 February ,12191,11107,89,10904663,10609649,155086
14 February ,11706,9500,91,10916369,10619149,155177
15 February ,9086,11793,82,10925455,10630942,155259
16 February ,11592,11844,99,10937047,10642786,155358
